Source,Indication,Bibliometric_Target,SKG_BIScore,SKG_Literature_Score,SKG_GDF15_BIScore,SKG_GDF15_Literature_Score,SKG_Total_Score,Bibliometric_Scientific_Score,Bibliometric_Market_Score,Bibliometric_Total_Score,Population,PMIDs
Ponsegromab,Mitochondrial Diseases,Mitochondrial Diseases,0,0,0,0,,85.9,64.6,150.5,45890,None
Ponsegromab,Cardiomyopathy,Cardiomyopathies,0,0,0.147442076,0.688247367,0.835689443,82.2,67.9,150.1,939598,None
Ponsegromab,Congestive heart failure,Heart Failure,0.424834346,0.324171731,0,0,0,84.9,64.2,149.1,1823483,None
Ponsegromab,Fatty liver disease,Steatotic Liver Disease (SLD) (Fatty Liver),0,0,0.157447425,0.685260244,0.842707669,68.5,77,145.5,40843500,None
Ponsegromab,Cancer cachexia,Cachexia,0.095614041,0.478070203,0.204609331,0.678377915,0.882987246,82.5,61.2,143.7,NA,None
Ponsegromab,HFpEF,"Heart Failure with preserved Ejection Fraction (HFpEF, Diastolic HF)",0.18,0,0.172601124,0.767862504,0.940463628,78,65,143,1823483,None
Ponsegromab,Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD / MAFLD / NAFLD),Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD / MAFLD / NAFLD),0,0,0,0,0,65.4,76.9,142.3,40843500,None
Ponsegromab,Myocardial Ischemia,Myocardial Ischemia,0,0,0,0,0,80.6,61.7,142.3,8851500,None
Ponsegromab,Lung cancer,Bronchogenic Carcinoma,0.061211041,0.306055203,0.178896696,0.677603432,0.856500128,71.7,69,140.7,11158792,None
Ponsegromab,Colorectal cancer,Colorectal Cancer (CRC),0.062456465,0.312282325,0.225873184,0.691100902,0.916974086,76.1,63.8,140,1374344,None
Ponsegromab,Hepato-Pancreato-Biliary Cancers,Hepato-Pancreato-Biliary Cancers,0,0,0,0,0,78.1,61.4,139.5,18356,None
Ponsegromab,Myocardial Infarction,Myocardial Infarction,0,0,0,0,0,78.2,60.6,138.8,4844922,None
Ponsegromab,Prostate cancer,Metastatic Prostate Cancer,0.025403322,0.127016612,0.210034601,0.694230626,0.904265227,63.6,73.7,137.4,9939369,None
Ponsegromab,Coronary Artery Disease (CAD),Coronary Artery Disease (CAD),0,0,0,0,0,77.2,59.4,136.6,9180605,None
Ponsegromab,Acute Myocardial Infarction (AMI),Acute Myocardial Infarction (AMI),0,0,0,0,0,75.8,59.8,135.6,4844922,None
Ponsegromab,Non-Small Cell Lung Cancer (NSCLC),Non-Small Cell Lung Cancer (NSCLC),0,0,0,0,0,71.4,62.2,133.6,689620,None
Ponsegromab,Acute Heart Failure,Acute Heart Failure,0,0,0,0,0,66.7,66.5,133.2,1823483,None
Ponsegromab,Atrial Fibrillation,Atrial Fibrillation,0,0,0,0,0,70.8,61.6,132.4,7714878,None
Ponsegromab,Acute Kidney Injury (AKI),Acute Kidney Injury (AKI),0,0,0,0,0,67,65,132.1,40170198,None
Ponsegromab,Stroke,Stroke,0,0,0,0,0,71.3,60.6,131.9,7078728,None
Ponsegromab,Gastrointestinal Cancers / Digestive System Tumors,Gastrointestinal Cancers / Digestive System Tumors,0,0,0,0,0,80.1,51.6,131.7,NA,None
Ponsegromab,Ventricular Dysfunction,Ventricular Dysfunction,0,0,0,0,0,72.2,58.8,130.9,2556982,None
Ponsegromab,Renal Insufficiency,Renal Insufficiency,0,0,0,0,0,78.7,51.8,130.6,724456,None
Ponsegromab,Cardiomegaly,Cardiomegaly,0,0,0,0,0,68.9,61.2,130,2556982,None
Ponsegromab,Chronic kidney disease,Chronic Kidney Disease (CKD),0,0,0.167650028,0.675627426,0.843277454,70.4,58.9,129.3,29317419,None
Ponsegromab,Pulmonary Arterial Hypertension (PAH),Pulmonary Arterial Hypertension (PAH),0,0,0,0,0,72.2,56.5,128.6,NA,None
Ponsegromab,Obstructive Lung Diseases,Obstructive Lung Diseases,0,0,0,0,0,70.4,58,128.4,28154789,None
Ponsegromab,Skin Cancers,Skin Cancers,0,0,0,0,0,69.9,58.5,128.4,2040603,None
Ponsegromab,Liver Diseases (Hepatology),Liver Diseases (Hepatology),0,0,0,0,0,74.9,53.3,128.2,1041348,None
Ponsegromab,Ureteral Diseases,Ureteral Diseases,0,0,0,0,0,58.3,68,126.3,5077994,None
Ponsegromab,Muscular Diseases,Muscular Diseases,0,0,0,0,0,73.8,52.4,126.2,3410860,None
Ponsegromab,Cardiac Arrhythmias,Cardiac Arrhythmias,0,0,0,0,0,69.6,56.2,125.8,2921511,None
Ponsegromab,Diabetic Kidney Disease,Diabetic Kidney Disease,0,0,0,0,0,66.1,59.6,125.7,6869750,None
Ponsegromab,Liver Fibrosis,Liver Fibrosis,0,0,0,0,0,68.8,56.8,125.6,190066,None
Ponsegromab,***Lung Cancer,***Lung Cancer,0,0,0,0,0,67.7,58,125.6,443295,None
Ponsegromab,Thoracic Cancers,Thoracic Cancers,0,0,0,0,0,67.5,57.9,125.5,443295,None
Ponsegromab,Pancreatic Cancer,Pancreatic Cancer,0.062124437,0.310622185,0.17764698,0.712129619,0.889776599,74.7,50.6,125.3,50155,None
Ponsegromab,Acute Coronary Syndrome (ACS),Acute Coronary Syndrome (ACS),0,0,0,0,0,70.1,54.9,125,NA,None
Ponsegromab,Chronic obstructive pulmonary disease,***Chronic Obstructive Pulmonary Disease (COPD),0.024004291,0.120021454,0.145883743,0.668768235,0.814651978,72,52.9,124.9,20112162,None
Ponsegromab,Hemorrhage,Hemorrhage,0,0,0,0,0,74.9,49.9,124.8,396496,None
Ponsegromab,Intestinal Neoplasms,Intestinal Neoplasms,0,0,0,0,0,76,48.7,124.7,2121796,None
Ponsegromab,Hemoglobinopathies,Hemoglobinopathies,0,0,0,0,0,66.2,58.3,124.5,64950835,None
Ponsegromab,Ovarian Diseases,Ovarian Diseases,0,0,0,0,0,71,52.4,123.4,789207,None
Ponsegromab,Structural Heart Diseases,Structural Heart Diseases,0,0,0,0,0,82.9,40.5,123.4,NA,None
Ponsegromab,Ischemic Stroke,Ischemic Stroke,0,0,0,0,0,59.6,63.3,122.9,5860973,None
Ponsegromab,Sarcopenia,Sarcopenia,0,0,0,0,0,63.6,59.2,122.8,3410860,None
Ponsegromab,Liver Cirrhosis,Liver Cirrhosis,0,0,0,0,0,68.6,54.1,122.7,1106959,None
Ponsegromab,Hematologic Malignancies,Hematologic Malignancies,0,0,0,0,0,63.4,59.1,122.5,3241352,None
Ponsegromab,Breast Cancer,Breast Cancer,0.02424421,0.121221049,0.211272216,0.675151953,0.886424169,67,55.2,122.3,2812910,None
Ponsegromab,Heart Valve Diseases,Heart Valve Diseases,0,0,0,0,0,61.6,60.6,122.2,1039957,None
Ponsegromab,Bladder/Urothelial Cancer,Bladder/Urothelial Cancer,0,0,0,0,0,65.6,56,121.6,264448,None
Ponsegromab,Neuromuscular Diseases,Neuromuscular Diseases,0,0,0,0,0,71.7,49.6,121.4,NA,None
Ponsegromab,Aortic Valve Stenosis,Aortic Valve Stenosis,0,0,0,0,0,62.8,58.2,121.1,81849,None
Ponsegromab,Chronic Heart Failure,Chronic Heart Failure,0,0,0,0,0,65.7,55.4,121.1,1823483,None
Ponsegromab,COVID-19 / SARS-CoV-2,COVID-19 / SARS-CoV-2,0,0,0,0,0,55.3,65.8,121.1,6689009,None
Ponsegromab,Early Stage,Early Stage,0,0,0,0,0,65.1,55.9,121,195041,None
Ponsegromab,Hypertension (High Blood Pressure),Hypertension (High Blood Pressure),0,0,0,0,0,77,44,121,NA,None
Ponsegromab,Geriatric Oncology,Geriatric Oncology,0,0,0,0,0,69,52,120.9,40818,None
Ponsegromab,Hyperglycemia,Hyperglycemia,0,0,0,0,0,61.6,58.4,120,2286884,None
Ponsegromab,Thromboembolism,Thromboembolism,0,0,0,0,0,54.4,65.6,120,2726821,None
Ponsegromab,Congenital Hemolytic Anemia,Congenital Hemolytic Anemia,0,0,0,0,0,66,53.3,119.3,NA,None
Ponsegromab,Hematologic Diseases (Hematology),Hematologic Diseases (Hematology),0,0,0,0,0,73.5,45.6,119.1,244323,None
Ponsegromab,Primary pulmonary hypertension,Pulmonary Hypertension,0.09,0,0.078845786,0.394228931,0.473074717,72.1,46.6,118.7,327,None
Ponsegromab,Metastatic Castration-Resistant Prostate Cancer (mCRPC),Metastatic Castration-Resistant Prostate Cancer (mCRPC),0,0,0,0,0,51,67.4,118.4,1754160,None
Ponsegromab,Bronchial Neoplasms,Bronchial Neoplasms,0,0,0,0,0,71.7,46.5,118.2,2121796,None
Ponsegromab,Aortic Valve Disease,Aortic Valve Disease,0,0,0,0,0,62.2,55.2,117.4,1422544,None
Ponsegromab,Hepatocellular Carcinoma (HCC),Hepatocellular Carcinoma (HCC),0,0,0,0,0,64.2,52.9,117.1,81849,None
Ponsegromab,Mitochondrial myopathy,Mitochondrial Myopathies,0,0,0.145903925,0.729172891,0.875076816,62.2,54.9,117.1,NA,None
Ponsegromab,Morbid Obesity,Morbid Obesity,0,0,0,0,0,57.8,59.3,117.1,2905055,None
Ponsegromab,Malnutrition,Malnutrition,0,0,0,0,0,65.2,51.7,116.9,17362891,None
Ponsegromab,Cerebral Small Vessel Diseases,Cerebral Small Vessel Diseases,0,0,0,0,0,52.4,64.4,116.8,3740328,None
Ponsegromab,Sepsis,Sepsis,0,0,0,0,0,68.2,48.4,116.6,247943,None
Ponsegromab,Benign Hematology,Benign Hematology,0,0,0,0,0,71,45.2,116.2,NA,None
Ponsegromab,Male Genital Neoplasms,Male Genital Neoplasms,0,0,0,0,0,73,43.2,116.2,2121796,None
Ponsegromab,Papillary Thyroid Cancer,Papillary Thyroid Cancer,0,0,0,0,0,54,61.9,115.9,2847695,None
Ponsegromab,Virus Diseases,Virus Diseases,0,0,0,0,0,69.6,46.2,115.8,1870094,None
Ponsegromab,Adiposity,Adiposity,0,0,0,0,0,58.5,57.1,115.6,1431863,None
Ponsegromab,Autoimmune Connective Tissue Diseases,Autoimmune Connective Tissue Diseases,0,0,0,0,0,68.6,47,115.6,16370,None
