Type,Name,Properties
Node,Module:cli,"{'type': 'Module', 'name': 'cli', 'filename': './gpt-researcher\\cli.py', 'description': 'Module cli'}"
Node,Import:asyncio,"{'type': 'Import', 'name': 'asyncio', 'filename': './gpt-researcher\\cli.py', 'description': 'Imported module asyncio'}"
Node,Import:argparse,"{'type': 'Import', 'name': 'argparse', 'filename': './gpt-researcher\\cli.py', 'description': 'Imported module argparse'}"
Node,Import:argparse.RawTextHelpFormatter,"{'type': 'Import', 'name': 'argparse.RawTextHelpFormatter', 'filename': './gpt-researcher\\cli.py', 'description': 'Imported RawTextHelpFormatter from argparse'}"
Node,Import:uuid.uuid4,"{'type': 'Import', 'name': 'uuid.uuid4', 'filename': './gpt-researcher\\cli.py', 'description': 'Imported uuid4 from uuid'}"
Node,Import:dotenv.load_dotenv,"{'type': 'Import', 'name': 'dotenv.load_dotenv', 'filename': './gpt-researcher\\cli.py', 'description': 'Imported load_dotenv from dotenv'}"
Node,Import:gpt_researcher.GPTResearcher,"{'type': 'Import', 'name': 'gpt_researcher.GPTResearcher', 'filename': './gpt-researcher\\cli.py', 'description': 'Imported GPTResearcher from gpt_researcher'}"
Node,Import:gpt_researcher.utils.enum.ReportType,"{'type': 'Import', 'name': 'gpt_researcher.utils.enum.ReportType', 'filename': './gpt-researcher\\cli.py', 'description': 'Imported ReportType from gpt_researcher.utils.enum'}"
Node,Variable:cli,"{'type': 'Variable', 'name': 'cli', 'filename': './gpt-researcher\\cli.py', 'description': 'Variable cli in cli'}"
Node,Variable:choices,"{'type': 'Variable', 'name': 'choices', 'filename': './gpt-researcher\\cli.py', 'description': 'Variable choices in cli'}"
Node,Variable:report_type_descriptions,"{'type': 'Variable', 'name': 'report_type_descriptions', 'filename': './gpt-researcher\\cli.py', 'description': 'Variable report_type_descriptions in cli'}"
Node,Variable:researcher,"{'type': 'Variable', 'name': 'researcher', 'filename': './gpt-researcher\\cli.py', 'description': 'Variable researcher in cli'}"
Node,Variable:report,"{'type': 'Variable', 'name': 'report', 'filename': './gpt-researcher\\cli.py', 'description': 'Variable report in cli'}"
Node,Variable:artifact_filepath,"{'type': 'Variable', 'name': 'artifact_filepath', 'filename': './gpt-researcher\\cli.py', 'description': 'Variable artifact_filepath in cli'}"
Node,Variable:args,"{'type': 'Variable', 'name': 'args', 'filename': './gpt-researcher\\cli.py', 'description': 'Variable args in cli'}"
Node,Module:main,"{'type': 'Module', 'name': 'main', 'filename': './gpt-researcher\\main.py', 'description': 'Module main'}"
Node,Import:backend.server.app,"{'type': 'Import', 'name': 'backend.server.app', 'filename': './gpt-researcher\\main.py', 'description': 'Imported app from backend.server'}"
Node,Import:dotenv.load_dotenv,"{'type': 'Import', 'name': 'dotenv.load_dotenv', 'filename': './gpt-researcher\\main.py', 'description': 'Imported load_dotenv from dotenv'}"
Node,Import:uvicorn,"{'type': 'Import', 'name': 'uvicorn', 'filename': './gpt-researcher\\main.py', 'description': 'Imported module uvicorn'}"
Node,Module:setup,"{'type': 'Module', 'name': 'setup', 'filename': './gpt-researcher\\setup.py', 'description': 'Module setup'}"
Node,Import:setuptools.find_packages,"{'type': 'Import', 'name': 'setuptools.find_packages', 'filename': './gpt-researcher\\setup.py', 'description': 'Imported find_packages from setuptools'}"
Node,Variable:exclude_packages,"{'type': 'Variable', 'name': 'exclude_packages', 'filename': './gpt-researcher\\setup.py', 'description': 'Variable exclude_packages in setup'}"
Node,Variable:long_description,"{'type': 'Variable', 'name': 'long_description', 'filename': './gpt-researcher\\setup.py', 'description': 'Variable long_description in setup'}"
Node,Variable:reqs,"{'type': 'Variable', 'name': 'reqs', 'filename': './gpt-researcher\\setup.py', 'description': 'Variable reqs in setup'}"
Node,Module:backend\server,"{'type': 'Module', 'name': 'backend\\server', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Module backend\\server'}"
